entrez_id	obsolete_entrez_id	obsolete_symbol
-	4	A12M1
-	5	A12M2
-	6	A12M3
-	7	A12M4
7003	8	AA
51596	42	ACHAP
1261	44	ACHM2
54714	45	ACHM3
7291	57	ACS3
643309	61	ACTBP1
-	65	ACTBP5
648740	76	ACTG1P4
100462767	77	ACTBP12
-	84	ACTL4
-	85	ACTL5
79839	96	ACY1L
348	99	AD2
196883	110	ADCY4
120	121	ADDL
-	129	ADH5P1
-	138	ADORA2L1
-	139	ADORA2L2
146	149	ADRA1D
55630	168	AEZ
375790	180	AGRN
57486	184	AGTBP
-	188	AGTRL2
6567	193	AHDS
57491	194	AHRR
79026	195	AHNAK
778	198	AIED
10117	200	AIH2
412	209	AKU
391538	227	ALDOAP1
401982	232	ALDRL1
-	233	ALDRL2
729347	234	AKR1B1P3
390402	235	ALDRL4
-	237	ALFN1
728113	244	ANXA8L2
57679	252	ALS2
23064	254	ALS4
80208	255	ALS5
55806	256	ALUNC
7169	260	AMCD1
4882	264	AMDM
222005	294	ANTP1
-	295	ANTP2
266623	296	ANTP3
-	297	ANTP4
442525	298	ANTP5
644042	299	ANTP6
442255	300	ANTP7
1280	315	AOM
-	340	APOBER1
-	349	APOEL1
-	352	APPL1
364	365	AQP7L
644000	370	ARAF2P
-	371	ARCN2
378	376	ARF2
388	385	ARH6
389	386	ARH9
83872	404	ARMD1
7043	422	ARVD1
6262	423	ARVD2
3106	426	AS
129880	428	BBS5
5309	437	ASMD
389652	441	ASNSL1
442167	446	ASSP1
158452	448	ASSP3
339845	452	ASSP7
340274	456	ASSP11
392302	457	ASSP12
341230	458	ASSP13
-	461	ASVS1
85300	464	ATCAY
-	494	ATP3
522	497	ATP5
-	499	ATP5A2
442416	500	ATP5A1P5
498	502	ATP5AL2
442416	503	ATP5A1P1
645443	505	ATP5AP3
-	508	ATP5BL2
665	510	ATP5C2
509	511	ATP5CL1
645560	512	ATP5CL2
10476	519	ATP5H
-	524	ATP6V1A2
729435	530	ATP6V1EL1
343515	531	ATP6V1E1P1
100462844	532	ATP6V1E1P2
50617	536	ATP6N2
3184	548	AUF1
-	555	AVR
-	556	AVRR
54840	557	AXA1
28982	559	AXPC1
-	561	AZF2
7080	562	BCH
646282	564	AZGP1P1
401393	565	AZGP1P2
6872	569	BA2R
84100	584	BBS3
-	588	BCGF1
3827	589	BDK
-	591	BCHEL1
-	592	BCHEL3
348980	609	HCN1
27032	612	BCPM
400892	614	BCRL2
644165	615	BCRL3
4920	621	BDB1
-	625	BDM
9759	626	BDMR
84295	630	BFLS
-	647	BLYM
-	674	BRAFPS1
23397	679	BRRN1
10555	681	BSCL
652963	691	BTF3L2
132556	692	BTF3L3
-	697	BTNL1
-	698	BTS1
1028	702	BWS
5002	703	BWSCR1A
5003	704	BWSCR1B
5728	707	BZS
-	709	C1HR
727859	723	C4BPAL1
8577	736	C9orf2
64776	737	C11orf1
738	739	C11orf3
-	742	C11orf6
9024	743	C11orf7
29800	748	C16orf1
10328	749	C16orf2
10328	751	C16orf4
754	756	C21orf3
56934	769	CA10
10216	787	CACP
4854	791	CADASIL
302	792	CAL1H
100128390	803	CALM2P1
802	809	CALML1
1069	812	CALT
-	848	CATHL1
-	849	CATHL1L
-	850	CATHL2
-	851	CATHL3
-	852	CATHL4
-	853	CATHL5
-	854	CATHL6
-	855	CATHLP
147381	870	CBLN2
871	872	SERPINH2
84733	876	CBX2
2201	877	CCA
1415	879	CCA2
2651	880	CCAT
-	884	CCD#
200575	888	CCL
595	893	CCND1
4171	903	CCNL1
6261	906	CCO
-	918	CD3W
100133941	934	CD24
27087	964	CD57~withdrawn
146059	979	CDAN1
10483	980	CDAN2
728642	985	CDC2L2
728642	986	CDC2L3
1778	992	CDC23
-	1023	CDL2
-	1034	CDL1
578	1035	CDN1
10682	1037	CDPX2
6584	1042	CDSP
-	1049	CEAL1
429	1064	CEPA
1066	1067	CES2
391039	1076	CFLL2
100131874	1077	CFLP3
645980	1078	CFLP4
1947	1079	CFNS
-	1099	CGN1
23230	1100	CHAC
590	1110	CHE2
6023	1115	CHH
-	1125	CHR
2228	1126	CHR39B
2229	1127	CHR39C
338917	1148	CHX10
3561	1150	CIDX
2074	1162	CKN2
23203	1165	SCAR2
492	1166	SCAX1
160	1168	CLAPA1
161	1169	CLAPA2
163	1170	CLAPB1
162	1171	CLAPB2
164	1172	CLAPG1
1917	1177	STN
5243	1189	CLCS
1811	1190	CLD
9124	1194	CLIM1
3912	1199	CLM
80331	1202	CLN4
54982	1205	CLN6
256471	1206	CLN7
6197	1210	CLS
8218	1214	CLTCL
6687	1216	CMAR
4000	1217	CMD1A
11155	1219	CMD1C
7139	1220	CMD1D
6331	1221	CMD1E
1674	1222	CMD1F
1674	1223	CMD1G
7137	1224	CMD2A
56172	1225	CMDJ
4625	1226	CMH1
7139	1227	CMH2
7168	1228	CMH3
3577	1229	CMKAR1
729230	1231	CCR2
1524	1239	CMKBRL1
2852	1242	CMKRL2
-	1245	CMR1A
-	1246	CMR2A
-	1247	CMR3A
5376	1248	CMT1A
23095	1249	CMT2A
7879	1250	CMT2B
54332	1251	CMT4A
8898	1252	CMT4B
